成绩,本段人数,累计人数
270,8,33
269,21,54
268,18,72
267,24,96
266,39,135
265,46,181
264,50,231
263,35,266
262,59,325
261,90,415
260,91,506
259,82,588
258,87,675
257,121,796
256,198,994
255,201,1195
254,132,1327
253,141,1468
252,235,1703
251,318,2021
250,338,2359
249,242,2601
248,224,2825
247,311,3136
246,470,3606
245,434,4040
244,285,4325
243,304,4629
242,431,5060
241,592,5652
240,568,6220
239,368,6588
238,368,6956
237,565,7521
236,646,8167
235,551,8718
234,407,9125
233,417,9542
232,509,10051
231,510,10561
230,293,10854
229,220,11074
228,365,11439
227,419,11858
226,217,12075
225,116,12191
224,204,12395
223,235,12630
222,169,12799
221,50,12849
220,33,12882
219,112,12994
218,113,13107
217,64,13171
216,13,13184
215,14,13198
214,53,13251
213,64,13315
212,29,13344
211,8,13352
210,5,13357
209,17,13374
208,26,13400
207,21,13421
206,4,13425
205,1,13426
204,9,13435
203,7,13442
202,8,13450
201,3,13453
200,6,13459
199,5,13464
198,4,13468
197,4,13472
196,4,13476
195,5,13481
194,2,13483
192,2,13485
191,1,13486
190,1,13487
189,2,13489
188,3,13492
187,2,13494
175,1,13495
166,1,13496
